First Name,Middle Name,Last Name,Suffix,DOB,SSN,Gender,DL State,DL Number,House Number,Street Address,Apartment,City,State,Zip,Zip4,Phone Number,#Phone Numbers,Address Finder,Current Address Match,Discovered Drivers,Driving Experience,Email,HSI Score,HSI Description,IID Indicator,Length Of Residency,Marital Status,Own/Rent Indicator,Parking Type,Parking Capacity,Watercraft,Number of ADD Selected subjects,ADD First Name1,ADD Last Name1,ADD First Name2,ADD Last Name2,ADD First Name3,ADD Last Name3,ADD First Name4,ADD Last Name4,ADD First Name5,ADD Last Name5, Number of CC Selected subjects,CC First Name1,CC Last Name1,CC First Name2,CC Last Name2,CC First Name3,CC Last Name3,CC First Name4,CC Last Name4,CC First Name5,CC Last Name5,Number of CC selected vehicles,Number of VIN Report selected vehicles
BRUCE,P,BROOKE,,10/1/1942,666624906,Male,AK,5749751,7913,ARLENE ST,,ANCHORAGE,AK,99502,4529,9072004646,2,X,TRUE,1,761,1,5,PROBABLE PROP OWNER EVER,,761,S,N,,0,,1,DORA,EDAQ,,,,,,,,,2,BRUCE,BROOKE,DORA,EDAQ,,,,,,,2,3
BETTY,,LANGLEY,,12/28/1963,666325944,Female,AK,5688631,12740,ATHERTON RD,,ANCHORAGE,AK,99516,2969,9072003366,2,X,TRUE,2,507,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,506,S,,,0,,2,MICHAEL,LANGLEY,WILLIAM,LANGLEY,,,,,,,3,BETTY,LANGLEY,WILLIAM,LANGLEY,MICHAEL,LANGLEY,,,,,3,4
GILBERT,,HERNANDO,,10/14/1939,666579414,Male,AK,7052516,8652,AUGUSTA CIR,,ANCHORAGE,AK,99504,4202,9072095267,2,X,TRUE,1,797,1,,UNKNOWN (SUBJECT FOUND PERSON ,,797,S,,GARAGE,2,,1,MARIA,GAXUR,,,,,,,,,2,GILBERT,HERNANDO,MARIA,GAXUR,,,,,,,3,3
KEVIN,M,BRAUN,,4/6/1927,666159963,Male,AK,7033016,12140,AVION ST,,ANCHORAGE,AK,99516,2133,9072234251,2,X,TRUE,1,947,1,3,FAMILY OWNED,,947,S,Y,GARAGE,2,,1,ROBERT,QIOMFER,,,,,,,,,4,KEVIN,BRAUN,ROBERT,QIOMFER,KEVIN,BRAUN,ROBERT,QIOMFER,,,3,3
HERMAN,,ARAUNE,,8/1/1968,666276972,Male,AK,6846403,6661,BABY BEAR DR,,ANCHORAGE,AK,99507,2201,9072096591,2,X,TRUE,1,451,1,5,PROBABLE PROP OWNER EVER,Y,451,S,N,GARAGE,2,,1,IRIS,EFMAX,,,,,,,,,2,HERMAN,ARAUNE,IRIS,EFMAX,,,,,,,3,5
SETBO,,TESTCASEMIB,,12/7/1956,777140270,Male,AK,7213187,3913,BARBARA DR,,ANCHORAGE,AK,99517,2527,9072301025,0,,TRUE,0,546,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
RITA,K,GATACHEW,,6/4/1945,666406728,Female,AK,6828634,16925,BEDFORD CHASE CIR,,ANCHORAGE,AK,99516,5425,9072275760,2,X,TRUE,1,729,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,729,M,,,0,,1,MARIE,GATACHEW,,,,,,,,,2,RITA,GATACHEW,MARIE,GATACHEW,,,,,,,2,2
TERRY,A,OMEARA,,5/21/1946,990503416,Male,AK,7248748,1831,BELLEVUE LOOP,,ANCHORAGE,AK,99515,3119,9072301195,1,,TRUE,0,726,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
THOMAS,R,BAILEY,,2/25/1973,666418374,Male,AK,850052,310,BEULAH CIR,B,ANCHORAGE,AK,99504,1371,9072295109,2,X,TRUE,1,397,1,5,PROBABLE PROP OWNER EVER,,396,S,N,,0,,1,NICHOLE,TAGG,,,,,,,,,2,THOMAS,BAILEY,NICHOLE,TAGG,,,,,,,2,2
JAMES,RAY,WUERTEMBURG,,7/8/1975,666456735,Male,AK,333598,2900,BONIFACE PKWY,110,ANCHORAGE,AK,99504,3132,9072098198,2,X,TRUE,2,368,1,,UNKNOWN (SUBJECT FOUND PERSON ,,368,S,,,0,,2,CHARLYN,WUERTEMBURG,PATTY,WUERTEMBURG,,,,,,,3,JAMES,WUERTEMBURG,CHARLYN,WUERTEMBURG,PATTY,WUERTEMBURG,,,,,4,5
PATRICIA,,BARNARD,,1/1/1934,666490989,Female,AK,7100815,531,BOUNTY DR,,ANCHORAGE,AK,99515,3730,9072272776,2,X,TRUE,1,866,1,5,PROBABLE PROP OWNER EVER,Y,866,S,N,GARAGE,2,,1,JESS,BARNARD,,,,,,,,,8,PATRICIA,BARNARD,JESS,BARNARD,PATRICIA,BARNARD,JESS,BARNARD,PATRICIA,BARNARD,6,9
JANE,,RATH,,4/30/1957,666521676,Female,AK,6960435,11008,BOW CIR,,ANCHORAGE,AK,99515,2741,9072098349,2,X,TRUE,2,587,1,3,FAMILY OWNED,,586,W,Y,GARAGE,2,,2,DE,RATH,THELMA,RATH,,,,,,,3,JANE,RATH,DE,RATH,THELMA,RATH,,,,,3,3
RAYMOND,E,GOVATOS,,8/9/1966,666171567,Male,AK,671939,320,BRAGAW ST,2,ANCHORAGE,AK,99508,2158,9072274628,2,X,TRUE,2,475,1,6,CURRENT HOMEOWNER,,475,S,Y,,0,,2,SCOTT,GOVATOS,DOYLE,XUGGUAMS,,,,,,,3,RAYMOND,GOVATOS,DOYLE,XUGGUAMS,SCOTT,GOVATOS,,,,,3,5
JEANETTE,C,NASIR,,5/30/1943,990503328,Female,AK,7561294,340,BRAGAW ST,6,ANCHORAGE,AK,99508,2170,9072300139,1,,TRUE,0,726,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
KHALIL,,KARIM,,12/25/1993,990503085,Male,AK,7749127,3170,BRIDLE LN,,ANCHORAGE,AK,99517,1411,9072300345,1,,TRUE,0,126,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
SHELLY,A,JACKSON,,8/28/1970,666705558,Female,AK,7049625,3150,BRIDLE LN,,ANCHORAGE,AK,99517,1411,9072279230,2,X,TRUE,2,427,1,4,POSSIBLE PROPERTY OWNER,,426,M,Y,,0,,2,LUCILLE,JACKSON,YONG,TEA,,,,,,,3,SHELLY,JACKSON,YONG,TEA,LUCILLE,JACKSON,,,,,4,3
GREGORY,T,MICHAEL,,12/28/1949,666174990,Male,AK,6569108,820,BRINY CIR,,ANCHORAGE,AK,99515,3631,9072095796,2,X,TRUE,2,675,1,,DATA INTEGRITY (PUBLIC RECORDS,Y,674,U,,GARAGE,1,,2,ANGELA,MICHAEL,SARITA,MICHAEL,,,,,,,3,GREGORY,MICHAEL,ANGELA,MICHAEL,SARITA,MICHAEL,,,,,3,3
ROBERT,L,DEVORAH,,5/12/1950,990502743,Male,AK,7752624,2948,BRITTANY PL,,ANCHORAGE,AK,99504,3984,9072300869,1,,TRUE,0,666,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
CHERYL,ANN,POLLOCK,,7/23/1955,666488541,Female,AK,7211989,3101,BROOKVIEW ST,,ANCHORAGE,AK,99504,4176,9072006604,2,X,TRUE,3,608,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,607,M,,,0,,3,CORA,POLLOCK,MELVIN,POLLOCK,ROBERT,POLLOCK,,,,,2,CHERYL,POLLOCK,ROBERT,POLLOCK,,,,,,,2,2
SHARON,L,BROCK,,8/30/1976,666339129,Female,AK,5607951,8560,BROOKWAY CIR,,ANCHORAGE,AK,99504,4270,9072278914,2,X,TRUE,2,355,1,,UNKNOWN (SUBJECT FOUND PERSON ,,354,S,,GARAGE,2,,2,DANIEL,BROCK,MARY,HOLENEL,,,,,,,3,SHARON,BROCK,MARY,HOLENEL,DANIEL,BROCK,,,,,4,4
GARY,D,PECK,,8/13/1969,666313809,Male,AK,6802351,4840,BRYN MAWR CT,2,ANCHORAGE,AK,99508,4766,9072094658,2,X,TRUE,3,439,1,4,POSSIBLE PROPERTY OWNER,Y,439,M,Y,,0,,3,LYNNETTE,PECK,NHOUVAPANNHA,PECK,DONALD,TWIOMDS,,,,,4,GARY,PECK,LYNNETTE,PECK,DONALD,TWIOMDS,NHOUVAPANNHA,PECK,,,4,6
GLEN,N,DARENT,,7/6/1954,666483429,Male,AK,7017256,6005,CAMDEN CIR,,ANCHORAGE,AK,99504,3817,9072095389,2,X,TRUE,10,620,1,3,FAMILY OWNED,Y,620,M,Y,,0,,10,DEBRA,AHXEDDS,HAROLD,BEDSARJR,PATRICK,BRCLARSON,DIAMOND,DAHNIND,PEGGY,EBWADMAN-SEDIVY,11,GLEN,DARENT,SALLYANNE,HABERTRO,HAROLD,BEDSARJR,JIM,REMHARS,PEGGY,EBWADMAN-SEDIVY,12,15
NANCY,L,BARKER,,2/24/1945,666673299,Female,AK,7057197,5441,CAMELOT DR,A,ANCHORAGE,AK,99508,2571,9072271594,2,X,TRUE,2,733,1,5,PROBABLE PROP OWNER EVER,Y,732,S,N,,0,,2,ROXANE,MORAIS,JIMMY,TAGBLER,,,,,,,2,NANCY,BARKER,JIMMY,TAGBLER,,,,,,,2,4
LYDIA,R,LAILA,,3/7/1955,990501664,Female,AK,367869,401,CAPRICORN CIR,,ANCHORAGE,AK,99508,2570,9072300474,1,,TRUE,0,606,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
RANDY,S,OSTAR,,10/25/1951,990502219,Male,AK,7275728,3512,CARPENTERS CIR,,ANCHORAGE,AK,99517,2316,9072300805,1,,TRUE,0,606,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
MARCIA,,HUNT,,1/23/1961,666291675,Female,AK,6945215,2005,CASEY CUSACK LOOP,,ANCHORAGE,AK,99515,2808,9072237771,4,X,TRUE,1,542,1,6,CURRENT HOMEOWNER,Y,541,M,Y,GARAGE,2,,1,WILLIAM,HUNT,,,,,,,,,2,MARCIA,HUNT,WILLIAM,HUNT,,,,,,,2,3
FRED,,FAERBER,,6/30/1970,666061230,Male,AK,6363783,4505,CASSIN DR,,ANCHORAGE,AK,99507,1030,9072094180,2,X,TRUE,1,429,1,4,POSSIBLE PROPERTY OWNER,,428,M,Y,,0,,1,LARRY,FREMHEFER,,,,,,,,,2,FRED,FAERBER,LARRY,FREMHEFER,,,,,,,3,3
KENENTH,F,CLARK,,3/8/1956,666412368,Male,AK,6363579,3617,CHALLENGER CIR,,ANCHORAGE,AK,99517,1590,9072233933,2,X,TRUE,1,600,1,3,FAMILY OWNED,,600,M,Y,CARPORT,0,,1,GRETA,CLARK,,,,,,,,,2,KENENTH,CLARK,GRETA,CLARK,,,,,,,3,3
DORIS,M,SANKS,,4/29/1975,666460386,Female,AK,6323803,12801,CHAPEL DR,,ANCHORAGE,AK,99516,2614,9072091552,2,X,TRUE,2,371,1,6,CURRENT HOMEOWNER,Y,370,M,Y,GARAGE,3,,2,RALPH,SANKS,WEATHERS,SANKS,,,,,,,6,DORIS,SANKS,RALPH,SANKS,WEATHERS,SANKS,DORIS,SANKS,RALPH,SANKS,5,6
CHARLES,,MARTING,,1/1/1947,666435624,Male,AK,7029379,10321,CHER CIR,,ANCHORAGE,AK,99516,,9072006276,2,X,TRUE,2,710,1,3,FAMILY OWNED,Y,710,M,Y,,0,,2,DORIS,MARTING,JOSEPH,SPUSMEY,,,,,,,3,CHARLES,MARTING,JOSEPH,SPUSMEY,DORIS,MARTING,,,,,4,4
FRANCES,,YVONNE,,6/18/1959,990502159,Male,AK,7643026,1117,CHUGACH WAY,10,ANCHORAGE,AK,99503,5661,9072299915,1,,TRUE,0,546,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
ARAM,M,BEARDON,,12/21/1959,666571236,Male,AK,6892724,8160,CLEAR HAVEN CIR,,ANCHORAGE,AK,99507,3210,9072001975,2,X,TRUE,1,555,1,6,CURRENT HOMEOWNER,,554,S,Y,OFF STREET,8,,1,CHARLES,BEARDON,,,,,,,,,2,ARAM,BEARDON,CHARLES,BEARDON,,,,,,,2,2
GARY,,BACKMAN,,11/21/1966,666249252,Male,AK,6825399,2417,CLOVERWOOD LOOP,,ANCHORAGE,AK,99508,3881,9072094493,2,X,TRUE,1,472,1,6,CURRENT HOMEOWNER,,471,W,Y,GARAGE,2,,1,DEBRA,TEDTAE,,,,,,,,,2,GARY,BACKMAN,DEBRA,TEDTAE,,,,,,,2,3
JODIE,H,BROWN,,10/12/1974,666409254,Female,AK,7108426,4110,COPE ST,2,ANCHORAGE,AK,99503,5778,9072230329,2,X,TRUE,10,377,1,,UNKNOWN (SUBJECT FOUND PERSON ,,377,S,,,0,,10,BARBARA,BINTR,GLORIA,FEDDATT,JULIE,HUBWARSON,SHARON,MUGRAN,KHAMSAI,RIODUVONG,11,JODIE,BROWN,BARBARA,BINTR,JONATHAN,SPQHAR,JULIE,HUBWARSON,SHARON,MUGRAN,11,12
RICHARD,M,BEGAY,,5/4/1974,666312477,Male,AK,6905611,601,COPPERBUSH CT,,ANCHORAGE,AK,99518,2256,9072275170,2,X,TRUE,2,382,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,382,M,,,0,,2,MC,BEGAY,JIM,NUMID,,,,,,,6,RICHARD,BEGAY,JIM,NUMID,MC,BEGAY,RICHARD,BEGAY,JIM,NUMID,3,4
ALEXANDER,A,GUZZETTA,,6/22/1961,666139281,Male,AK,7056552,8820,CORDELL CIR,3,ANCHORAGE,AK,99502,5523,9072000501,0,X,,0,0,0,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
TRICIA,,RUSINSKI,,3/2/1955,666307986,Female,AK,6655360,3710,CORE CT,1,ANCHORAGE,AK,99502,5228,9072292884,2,X,TRUE,2,612,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,612,S,,CARPORT,0,,2,JUDY,RUSINSKI,HECTOR,BEDNINA,,,,,,,3,TRICIA,RUSINSKI,HECTOR,BEDNINA,JUDY,RUSINSKI,,,,,3,3
MALCOM,D,GALVAN,,10/29/1959,666555180,Male,AK,104725,1357,CRESCENT DR,,ANCHORAGE,AK,99508,5005,9072237630,2,X,TRUE,1,557,1,3,FAMILY OWNED,,556,S,Y,,0,,1,MARSHALL,TIODME,,,,,,,,,11,MALCOM,GALVAN,JOHN,GALVAN,MARSHALL,TIODME,MALCOM,GALVAN,JOHN,GALVAN,5,5
KRISTIN,,ALARCON,,2/25/1969,666484794,Female,AK,6699690,1111,CROW BERRY CIR,,ANCHORAGE,AK,99515,2637,9072234756,2,X,TRUE,10,445,1,5,PROBABLE PROP OWNER EVER,,444,M,N,,0,,10,ROBERT,CASADKIN,KEVICK,CLOUST,RAYMOND,CODOFGANAN,KATHLEEN,DIRAD,BILLY,FAA,11,KRISTIN,ALARCON,CHRISTOPHER,NIDDUS,BILLY,FAA,ROBERT,CASADKIN,KEVICK,CLOUST,11,13
RONALD,J,FARAR,,2/19/1952,666271116,Male,AK,5856740,15040,CURVELL DR,,ANCHORAGE,AK,99516,4135,9072277134,2,X,TRUE,1,649,1,6,CURRENT HOMEOWNER,,649,S,Y,,0,,1,ADESHKA,FARAR,,,,,,,,,2,RONALD,FARAR,ADESHKA,FARAR,,,,,,,2,2
BECKY,,BOURNE,,8/21/1975,666111213,Female,AK,577818,4100,DEBARR RD,56,ANCHORAGE,AK,99508,3116,9072002903,2,X,TRUE,2,367,1,2,OWNED BY ANOTHER,,366,M,N,,0,,2,ALAN,BOURNE,MICHAEL,BOURNE,,,,,,,3,BECKY,BOURNE,MICHAEL,BOURNE,ALAN,BOURNE,,,,,3,3
MICHAEL,ERNEST,COOPERWOOD,SR,8/8/1932,666205155,Male,AK,6452195,3722,DEBORAH LN,,ANCHORAGE,AK,99504,4603,9072270324,2,X,TRUE,2,883,1,5,PROBABLE PROP OWNER EVER,,883,S,N,CARPORT,1,,2,JAMES,COOPERWOOD,MALCOM,COOPERWOOD,,,,,,,3,MICHAEL,COOPERWOOD,MALCOM,COOPERWOOD,JAMES,COOPERWOOD,,,,,3,5
JAMES,R,OCONNOR,,6/28/1961,666209514,Male,AK,6775260,1610,DIMOND DR,,ANCHORAGE,AK,99507,1304,9072098023,2,X,TRUE,3,537,1,5,PROBABLE PROP OWNER EVER,,536,S,N,GARAGE,2,,3,CHRISTOPHER,OCONNOR,FRANCHESCA,OCONNOR,JOAN,PEDDELLY,,,,,4,JAMES,OCONNOR,CHRISTOPHER,OCONNOR,JOAN,PEDDELLY,FRANCHESCA,OCONNOR,,,4,4
RICHARD,,STEICHEN,,4/15/1933,666574167,Male,AK,7080280,7740,DOVER AVE,,ANCHORAGE,AK,99504,1963,9072275539,2,X,TRUE,2,875,1,5,PROBABLE PROP OWNER EVER,Y,875,W,N,CARPORT,2,,2,JEN,STEICHEN,DAVID,TEDTAR,,,,,,,5,RICHARD,STEICHEN,JEN,STEICHEN,DAVID,TEDTAR,RICHARD,STEICHEN,DAVID,TEDTAR,5,5
TROY,DEAN,BLICKENSTAFF,,7/15/1963,666709086,Male,AK,6650707,3638,DUNKIRK CT,,ANCHORAGE,AK,99502,3060,9072292909,2,X,TRUE,1,512,1,,UNKNOWN (SUBJECT FOUND PERSON ,,512,M,,CARPORT,1,,1,ANTHONY,BLICKENSTAFF,,,,,,,,,2,TROY,BLICKENSTAFF,ANTHONY,BLICKENSTAFF,,,,,,,2,4
MARVIN,,BATES,,2/10/1974,666613536,Male,AK,6856153,4635,E 101ST AVE,,ANCHORAGE,AK,99507,6506,9072238955,2,X,TRUE,3,385,1,5,PROBABLE PROP OWNER EVER,,385,S,N,GARAGE,1,,3,HEATHER,BATES,SHIRLEY,BATES,PATRICIA,AMQEDT,,,,,4,MARVIN,BATES,HEATHER,BATES,PATRICIA,AMQEDT,SHIRLEY,BATES,,,4,5
ROBERT,,BROOKENS,,7/10/1966,666451560,Male,AK,277250,7041,E 10TH AVE,2,ANCHORAGE,AK,99504,1819,9072276046,2,X,TRUE,1,476,1,,UNKNOWN (SUBJECT FOUND PERSON ,,476,D,,,0,,1,NATHAN,BROOKENS,,,,,,,,,2,ROBERT,BROOKENS,NATHAN,BROOKENS,,,,,,,2,3
JERRY,,WHITLEY,,1/1/1944,666176058,Male,AK,7218062,1135,E 14TH AVE,,ANCHORAGE,AK,99501,5429,9072099729,2,X,TRUE,1,746,1,6,CURRENT HOMEOWNER,Y,746,S,Y,GARAGE,2,,1,LIZETTE,WHITLEY,,,,,,,,,2,JERRY,WHITLEY,LIZETTE,WHITLEY,,,,,,,2,2
DAMON,,OSBURN,,6/17/1957,666020169,Male,AK,7085421,6512,E 16TH AVE,,ANCHORAGE,AK,99504,2509,9072008259,2,X,TRUE,1,585,1,5,PROBABLE PROP OWNER EVER,,585,M,N,,0,,1,RJ,NIRAMG,,,,,,,,,2,DAMON,OSBURN,RJ,NIRAMG,,,,,,,4,6
FRIENDLY,RAYMOND,LINARES,,11/1/1952,666450951,Male,AK,6308069,8640,E 17TH AVE,,ANCHORAGE,AK,99504,2908,9072094308,1,X,TRUE,2,640,1,,UNKNOWN (SUBJECT FOUND PERSON ,,640,S,,CARPORT,2,,2,HAZEL,LINARES,SANFORD,LEORAR,,,,,,,3,FRIENDLY,LINARES,HAZEL,LINARES,SANFORD,LEORAR,,,,,3,3
ROBERT,T,STANLEY,,4/24/1973,666311298,Male,AK,5726090,3225,E 19TH CT,,ANCHORAGE,AK,99508,3331,9072276510,2,X,TRUE,2,395,1,6,CURRENT HOMEOWNER,Y,394,M,Y,GARAGE,2,,2,JOYCE,STANLEY,DAY,EOHAST,,,,,,,3,ROBERT,STANLEY,JOYCE,STANLEY,DAY,EOHAST,,,,,3,3
DE,,BYSKO,,11/28/1964,666419502,Male,AK,6981741,8456,E 20TH AVE,,ANCHORAGE,AK,99504,2915,9072009616,2,X,TRUE,1,496,1,6,CURRENT HOMEOWNER,,495,S,Y,GARAGE,2,,1,EDITH,PLEDGES,,,,,,,,,2,DE,BYSKO,EDITH,PLEDGES,,,,,,,2,2
ANNE,,FOSTER,,1/1/1972,666140028,Female,AK,6735969,7756,E 20TH AVE,,ANCHORAGE,AK,99504,3537,9072001650,4,X,TRUE,2,410,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,410,S,,GARAGE,3,,2,AMY,FOSTER,TORIBIO,BEDEMDANG,,,,,,,2,ANNE,FOSTER,TORIBIO,BEDEMDANG,,,,,,,4,3
WILLIAM,R,BURBAGE,,4/10/1957,666423882,Male,AK,6403869,5212,E 26TH AVE,,ANCHORAGE,AK,99508,3815,9072294383,2,X,TRUE,2,587,1,6,CURRENT HOMEOWNER,,587,S,Y,GARAGE,1,,2,SANDRA,BURBAGE,KERRI,CIXAGL,,,,,,,6,WILLIAM,BURBAGE,SANDRA,BURBAGE,KERRI,CIXAGL,WILLIAM,BURBAGE,SANDRA,BURBAGE,5,7
BARRY,DON,SNEED,,9/19/1949,666150705,Male,AK,6200111,8101,E 2ND AVE,1,ANCHORAGE,AK,99504,1511,9072002815,2,X,TRUE,2,678,1,,UNKNOWN (SUBJECT FOUND PERSON ,,677,S,,,0,,2,MARY,SNEED,DONNA,CABW,,,,,,,3,BARRY,SNEED,MARY,SNEED,DONNA,CABW,,,,,3,5
RALPH,,BRASWELL,,1/1/1939,666340254,Male,AK,366361,8149,E 2ND AVE,A,ANCHORAGE,AK,99504,1511,9072274282,2,X,TRUE,1,806,1,5,PROBABLE PROP OWNER EVER,,806,M,N,,0,,1,LINDA,BRASWELL,,,,,,,,,2,RALPH,BRASWELL,LINDA,BRASWELL,,,,,,,3,2
STACIE,A,GLOSSUP,,1/16/1947,666467589,Female,AK,7179232,8110,E 32ND AVE,,ANCHORAGE,AK,99504,4112,9072279773,2,X,TRUE,1,710,1,5,PROBABLE PROP OWNER EVER,Y,710,S,N,GARAGE,2,,1,HIROTOSHI,UMIOA,,,,,,,,,4,STACIE,GLOSSUP,HIROTOSHI,UMIOA,STACIE,GLOSSUP,HIROTOSHI,UMIOA,,,2,3
ANGELA,RENEE,MEYER,,7/18/1947,666307332,Female,AK,6832996,1715,E 58TH CIR,,ANCHORAGE,AK,99507,1940,9072001333,2,X,TRUE,1,704,1,,UNKNOWN (SUBJECT FOUND PERSON ,Y,704,M,,GARAGE,2,,1,BRADLEY,MEYER,,,,,,,,,2,ANGELA,MEYER,BRADLEY,MEYER,,,,,,,3,3
HOWARD,,BLOOM,,8/2/1935,666552831,Male,AK,6939407,1705,E 58TH CIR,,ANCHORAGE,AK,99507,1940,9072096743,2,X,TRUE,2,847,1,3,FAMILY OWNED,,847,S,Y,GARAGE,1,,2,CHAD,BLOOM,BENJAMIN,TWAQ,,,,,,,3,HOWARD,BLOOM,BENJAMIN,TWAQ,CHAD,BLOOM,,,,,4,4
